2026-07-27T10:40:49 | dry_run_stage2 | INFO | Starting Stage 2 Dry Run Eval Bias...
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/ALBERTLoopedBERT_tiny_seed42/band_10p00 - failed quality screen (PP=18451.268895154088)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/LoopedBERT_tiny_seed42/band_10p00 - failed quality screen (PP=18307.56363520787)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/VanillaBERT_tiny_seed42/band_10p00 - failed quality screen (PP=17651.155176034837)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/VanillaBERT6_tiny_seed42/band_10p00 - failed quality screen (PP=17477.860808380818)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/token_marker_models/ALBERTLoopedBERT_tiny_seed42/tokens_25000 - failed quality screen (PP=19238.113131760263)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/token_marker_models/LoopedBERT_tiny_seed42/tokens_25000 - failed quality screen (PP=19082.841801139923)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/token_marker_models/VanillaBERT_tiny_seed42/tokens_25000 - failed quality screen (PP=18378.302493195417)
2026-07-27T10:40:49 | eval_bias_stage2 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/token_marker_models/VanillaBERT6_tiny_seed42/tokens_25000 - failed quality screen (PP=18327.81901137816)
2026-07-27T10:40:49 | dry_run_stage2 | INFO | Starting Stage 2 Dry Run Eval GLUE...
2026-07-27T10:40:49 | dry_run_stage2 | INFO | Starting Stage 2 Dry Run External Calibration...
2026-07-27T10:40:50 | external_calibration_stage2 | INFO | Loading external model: prajjwal1/bert-tiny
BertForMaskedLM has generative capabilities, as `prepare_inputs_for_generation` is explicitly overwritten. However, it doesn't directly inherit from `GenerationMixin`. From 👉v4.50👈 onwards, `PreTrainedModel` will NOT inherit from `GenerationMixin`, and this model will lose the ability to call `generate` and other related functions.
  - If you're using `trust_remote_code=True`, you can get rid of this warning by loading the model with an auto class. See https://huggingface.co/docs/transformers/en/model_doc/auto#auto-classes
  - If you are the owner of the model architecture code, please modify your model class such that it inherits from `GenerationMixin` (after `PreTrainedModel`, otherwise you'll get an exception).
  - If you are not the owner of the model architecture class, please contact the model code owner to update it.
2026-07-27T10:40:50 | external_calibration_stage2 | INFO | Evaluating prajjwal1/bert-tiny on multicrows...
2026-07-27T10:41:11 | external_calibration_stage2 | INFO | External calibration complete. Results saved to /home/Debz/HyperloopBert/Codes/results/dry_run/stage2/bias/external_calibration.csv
2026-07-27T10:41:11 | dry_run_stage2 | INFO | Starting Stage 2 Dry Run Loop Trajectory...
2026-07-27T10:41:12 | loop_trajectory_stage2 | INFO | Trajectory primary band (tiny): 10.0
2026-07-27T10:41:12 | loop_trajectory_stage2 | INFO | Running trajectory analysis for ALBERTLoopedBERT tiny Seed 42
2026-07-27T10:41:19 | loop_trajectory_stage2 | INFO | Running trajectory analysis for LoopedBERT tiny Seed 42
2026-07-27T10:41:24 | loop_trajectory_stage2 | INFO | Running trajectory analysis for VanillaBERT tiny Seed 42
2026-07-27T10:41:29 | loop_trajectory_stage2 | INFO | Running trajectory analysis for VanillaBERT6 tiny Seed 42
2026-07-27T10:41:32 | dry_run_stage2 | INFO | Starting Stage 2 Dry Run Analysis...
2026-07-27T10:41:32 | analyze_stage2 | ERROR | Required data not found. Run evaluation first.
