Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,5,0.5555555555555556,0.5270462766947299,0.029306508876659382,OSCILLATING,2026-07-27T10:41:19.069635Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,6,0.5707070707070707,0.49622995431953165,0.024751625332156024,OSCILLATING,2026-07-27T10:41:19.070393Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,6,0.6716417910447762,0.4731602234073838,0.03459111336063772,OSCILLATING,2026-07-27T10:41:19.071059Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,6,0.7619047619047619,0.4364357804719847,0.18066640127272823,OSCILLATING,2026-07-27T10:41:19.071300Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,6,0.47368421052631576,0.506009406240056,0.04262424233306187,OSCILLATING,2026-07-27T10:41:19.071539Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,6,0.2857142857142857,0.48795003647426666,-0.0908751228228721,CONVERGENT,2026-07-27T10:41:19.071752Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,6,0.2916666666666667,0.4643056214875365,-0.20342644850413008,CONVERGENT,2026-07-27T10:41:19.071958Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,6,0.75,0.45226701686664544,0.26803116653904774,OSCILLATING,2026-07-27T10:41:19.072170Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,6,0.6666666666666666,0.5163977794943223,-0.038840738932291785,OSCILLATING,2026-07-27T10:41:19.072404Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,6,0.5,0.5188745216627708,-0.0375264186906934,OSCILLATING,2026-07-27T10:41:19.072619Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,6,0.5555555555555556,0.5270462766947299,0.02554472287495931,OSCILLATING,2026-07-27T10:41:19.072818Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,7,0.5707070707070707,0.49622995431953165,0.016886956395165,OSCILLATING,2026-07-27T10:41:19.073547Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,7,0.6865671641791045,0.4673897609088611,0.01928378713372036,OSCILLATING,2026-07-27T10:41:19.074241Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,7,0.7619047619047619,0.4364357804719847,0.18593923250834138,OSCILLATING,2026-07-27T10:41:19.074492Z
