Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Stream_Count,Merge_At,Validation_Loss,Pseudo_Perplexity,Mask_Accuracy,Tokens_Processed,Tokens_Per_Second,GPU_Hours,Token_Marker,Band,Timestamp
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,3.1406568550769194,23.119047736237214,0.4242656449553001,1502048939,300614.1145522147,1.3879448641671075,,3.4,2026-07-28T02:39:02.147680Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.967567900507031,19.44457090996169,0.4493295019157088,1533373090,300427.39425451553,1.417770075533125,,3.0,2026-07-28T02:40:48.675764Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.6882121797823917,14.705361861804741,0.4910919540229885,1627228643,300419.1860102786,1.5045908431874382,,2.7,2026-07-28T02:46:01.242645Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.3959020573212877,10.978096466235066,0.5360578969774372,1814963769,300248.3520175638,1.6791319556368722,,2.4,2026-07-28T02:56:29.583447Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.2336519029405384,9.333890376667885,0.5611536824180502,2000057416,300053.5326273163,1.8515746159685982,2000000000,,2026-07-28T03:06:49.935703Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,2.191694966556164,8.95037084439391,0.5679225202213708,2065395661,299920.0185987315,1.9129133814573287,,2.2,2026-07-28T03:10:31.188233Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,1.7373464439005586,5.682245243074737,0.6382609621115368,4000010170,300068.66400722286,3.7028656084007685,4000000000,,2026-07-28T04:57:54.583279Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,,1.5158291803313702,4.553194981750053,0.6757662835249042,7000044769,300081.8956232069,6.479754055937131,7000000000,,2026-07-28T07:44:31.381684Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,3.6273829460550036,37.61424917608923,0.37080672626649636,751154151,300271.72579607746,0.6948837100134956,,5.0,2026-07-28T08:26:15.158906Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,3.6273829460550036,37.61424917608923,0.37080672626649636,751154151,300271.72579607746,0.6948837100134956,,4.0,2026-07-28T08:26:15.165903Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.9226088233580736,18.5897215540889,0.46811409110259683,876253207,300149.6631929416,0.8109410019715627,,3.4,2026-07-28T08:33:12.977993Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.9226088233580736,18.5897215540889,0.46811409110259683,876253207,300149.6631929416,0.8109410019715627,,3.0,2026-07-28T08:33:12.984953Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.647432264423005,14.117741437546947,0.5060025542784163,1001316622,300082.70537936833,0.9268894912136926,,2.7,2026-07-28T08:40:10.148409Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.387730633121391,10.888755302500522,0.5439016602809706,1282952769,299758.89069273736,1.188874726427926,,2.4,2026-07-28T08:55:53.287031Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.1626932162840653,8.694522383532856,0.5773946360153257,1877598236,299697.09679387254,1.7402740004327562,,2.2,2026-07-28T09:28:58.330569Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,2.136395271466914,8.46885461839184,0.5808535547041295,2000057416,299768.3016545101,1.853336398071713,2000000000,,2026-07-28T09:35:45.100238Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,1.8855349469661915,6.589878734912937,0.6186355896126011,4000010170,300426.3169329959,3.698457403646575,4000000000,,2026-07-28T11:26:27.535864Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,,1.7147954191335366,5.555538839145204,0.6473073648361005,7000044769,301252.10098949383,6.454583632416195,7000000000,,2026-07-28T14:11:49.590287Z
